profile,families,cases,representativePath,constraintSha256,rawText,normalizedText,sourceSemantics,analyzerRecognition,macroEncoding,finalVerifier,codeLocations,status,issues
无自定义结构约束,5to10Traces;baseTest;disjunctedExistence;equal;increasingNumVariables;moreDetailedTest,485,ATLAS/experiment_artifacts/2026-09-26/rq3-constraint-audit/inputs/5to10Traces/0000.trace,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,仅有 matched 输入的运算符、B、b、轨迹语义；无自定义 Alloy 约束。,,空 product constraint state；一般 DAG/成本/二元节点预算。,DagConstraintEvaluator 的接受态、结构预算与原始 lasso 轨迹。,"RecognizedConstraintAnalyzer.kt:137,273;MacroAlloyModelBuilder.kt:90-156;FinalSolutionVerifier.kt:57-65",EXACT_MATCH,
Robot RR：4 条旧边 + NNF,robot,10,ATLAS/experiment_artifacts/2026-09-26/rq3-constraint-audit/inputs/robot/RRtrace/order.trace,1a473c559fe6857a0353880925b32cc2275b8a1e9d70b904606e811afb5a9a19,"one sig F0 extends F {}
one sig F1 extends F {}
one sig And0 extends And {}
fact{
 maxsome[2] subDAG[root] & (And0->F0 + F0->x0 + And0->F1 + F1->x1)
 all n: DAGNode - Literal | lone n.~(l+r)
 no l & r
 root in And
 all n: Neg | n.l in Literal
}",one sig F0 extends F { } one sig F1 extends F { } one sig And0 extends And { } fact { maxsome [ 2 ] subDAG [ root ] & ( And0 -> F0 + F0 -> x0 + And0 -> F1 + F1 -> x1 ) all n : DAGNode - Literal | lone n . ~ ( l + r ) no l & r root in And all n : Neg | n . l in Literal },one sig 指定 And0/F0/F1 身份；根是某个 And；非 Literal 至多一个不同父节点；二元左右直接孩子不同；Neg 直接孩子是 Literal。按 4 条指定直接边保留数优先、再最小化 DAG 大小。,OfficialRobotRR;Repair;NoDAGReuse;LeftNotEqualRight,可选 protected slots、NNF constraint state；非空/空 fiber 区分共享边界及直接旧边；repair 字典序目标。,展开 DAG 重算 NNF、父节点数、左右孩子身份和旧边计数。,"RecognizedConstraintAnalyzer.kt:52-56,169-192;NnfAutomaton.kt:11-25;MacroAlloyModelBuilder.kt:158-170,237-244;FinalSolutionVerifier.kt:62-106",EXACT_MATCH,
"Peterson：响应 + x6,x2",peterson,5,ATLAS/experiment_artifacts/2026-09-26/rq3-constraint-audit/inputs/peterson/constrained/liveness1.trace,21281860c5f6cc0bde50084cda9d9817440664e679750da612484f6b1f982da5,"fact {
    root in G
    root.l in Imply
    root.l.r in F

    x6 in root.*(l+r) // pc0_a4
    x2 in root.*(l+r) // pc0_CS

    all n: root.*(l+r) | (n.l.*(l+r) & n.r.*(l+r) & Literal) = none // literals appear once in a formula
}",fact { root in G root . l in Imply root . l . r in F x6 in root . * ( l + r ) x2 in root . * ( l + r ) all n : root . * ( l + r ) | ( n . l . * ( l + r ) & n . r . * ( l + r ) & Literal ) = none },根 G、直接 Imply/F 响应形状；x6 与 x2 在根子树；任一左右分支没有共同 Literal 后代。,OfficialPeterson;NoSharedLiteralBranches;RequiredProposition(x6);RequiredProposition(x2),"RootOperator(G) × ResponseOuterShape × RequiredProposition(x6,x2)；二元锚的 Literal 后代交集为空。",展开 DAG 重算 product state、左右 Literal 后代集合及原始轨迹。,"RecognizedConstraintAnalyzer.kt:35-41,142-153;OfficialArtifactAutomata.kt:5-20;MacroAlloyModelBuilder.kt:166-167;FinalSolutionVerifier.kt:62-90",EXACT_MATCH,
Voting：根 G + NNF,voting_machine,9,ATLAS/experiment_artifacts/2026-09-26/rq3-constraint-audit/inputs/voting_machine/voting10.trace,26a1c5cdf634c218b7ec6578b1e99d466faacef0ee46f3f0bf3df29e92cfa4f7,"fact {
    root in G
    all n: Neg | n.l in Literal // negation normal form
}",fact { root in G all n : Neg | n . l in Literal },根节点是 G；每个 Neg 的直接 l 孩子是 Literal。文件没有对 G 的直接孩子或整个子树禁止时序运算符。,OfficialVoting;NNF,RootOperatorAutomaton(G) × NnfAutomaton；G 根锚定，状态经所有 fiber 传递；无 PropositionalOnly。,根约束与 NNF 的 automaton 接受态；对展开 DAG 重新求状态。,"RecognizedConstraintAnalyzer.kt:43-46,154-160;NnfAutomaton.kt:11-25;MacroAlloyModelBuilder.kt:108-112;FinalSolutionVerifier.kt:62-63",EXACT_MATCH,
Peterson：响应 + x6,peterson,10,ATLAS/experiment_artifacts/2026-09-26/rq3-constraint-audit/inputs/peterson/base/liveness1.trace,2d9df7af7d8884e7e857e5f9673e811205ce8a9106b28ecf32780e8687dbbe5b,"fact {
    root in G
    root.l in Imply
    root.l.r in F

    x6 in root.*(l+r) // pc0_a4
    //x2 in root.*(l+r) // pc0_CS

    all n: root.*(l+r) | (n.l.*(l+r) & n.r.*(l+r) & Literal) = none // literals appear once in a formula
}",fact { root in G root . l in Imply root . l . r in F x6 in root . * ( l + r ) all n : root . * ( l + r ) | ( n . l . * ( l + r ) & n . r . * ( l + r ) & Literal ) = none },根 G，直接孩子 Imply，Imply 的直接右孩子 F；x6 在根子树中。任一节点左右分支的 Literal 后代集合不得相交；注释中的 x2 不生效。,OfficialPeterson;NoSharedLiteralBranches;RequiredProposition(x6),RootOperator(G) × ResponseOuterShape × RequiredProposition(x6)；二元锚的左右可达 Literal 集不交。,展开 DAG 重算 product state、左右 Literal 后代集合及原始轨迹。,"RecognizedConstraintAnalyzer.kt:35-41,142-153;OfficialArtifactAutomata.kt:5-20;MacroAlloyModelBuilder.kt:166-167;FinalSolutionVerifier.kt:62-90",EXACT_MATCH,
Robot RA：5 条旧边,robot,10,ATLAS/experiment_artifacts/2026-09-26/rq3-constraint-audit/inputs/robot/RAtrace/final21.trace,3733f60a5df184a1a381e400584e26e4a312f1424d294befcb81814046432891,"one sig And0 extends And {}
one sig F0 extends F {}
one sig G0 extends G {}
one sig Neg0 extends Neg {}
fact{
 maxsome[2] subDAG[root] & (And0->G0 + G0->Neg0 + Neg0->x2 + And0->F0 + F0->x0)
 all n: DAGNode - Literal | lone n.~(l+r)
 no l & r
 root in And
}",one sig And0 extends And { } one sig F0 extends F { } one sig G0 extends G { } one sig Neg0 extends Neg { } fact { maxsome [ 2 ] subDAG [ root ] & ( And0 -> G0 + G0 -> Neg0 + Neg0 -> x2 + And0 -> F0 + F0 -> x0 ) all n : DAGNode - Literal | lone n . ~ ( l + r ) no l & r root in And },one sig 指定 And0/F0/G0/Neg0 身份；根是某个 And。非 Literal 至多一个不同父节点；二元节点左右直接孩子不同。按保留的 5 条指定直接边数优先、再最小化根可达 DAG 大小。,OfficialRobotRA;Repair;NoDAGReuse;LeftNotEqualRight,可选 protected slots 保留名称；非空 fiber 隔离共享边界，空 fiber 才是直接边；kept 精确计数，repair 字典序目标。,展开 DAG 的父节点数、左右孩子身份和指定旧边计数；不独立证明求解器最优性。,"RecognizedConstraintAnalyzer.kt:47-51,169-192;MacroAlloyModelBuilder.kt:158-170,237-244;MacroLearner.kt:123-159;FinalSolutionVerifier.kt:69-106",EXACT_MATCH,
Voting：仅根 G,voting_machine,1,ATLAS/experiment_artifacts/2026-09-26/rq3-constraint-audit/inputs/voting_machine/voting2.trace,45efdf2ac6601915ba5a4a2cb7ae27bb967933be1a1beebd11b26b0af231a3cb,"fact {
    root in G
    // all n: Neg | n.l in Literal // negation normal form
}",fact { root in G },仅要求根节点为 G；被注释的 NNF 不生效。没有直接孩子或子树的时序禁令。,OfficialVoting,RootOperatorAutomaton(G)；G 根锚定，允许 G/F/X 等在子树中出现。,根约束 automaton 接受态。,"RecognizedConstraintAnalyzer.kt:43-46,154-160;MacroAlloyModelBuilder.kt:108-112;FinalSolutionVerifier.kt:62-63",EXACT_MATCH,
Weakening antecedent 模板,weakening,39,ATLAS/experiment_artifacts/2026-09-26/rq3-constraint-audit/inputs/weakening/weaken_antecedent/weaken_antecedent_100_10_10.trace,6793473afd9b8a8ec3a6c146d3e2f3b76d3d7cedbb5603fd69c5a251adad7319,"fact {
    root = G0
    
    all imply: Imply {
        all n: childrenOf[imply] | n in (Literal + And + Or + Neg)
        all n: childrenOf[imply] & Neg | n.l in Literal
        all n: childrenAndSelfOf[imply.l] & Or | no childrenOf[n] & And
        all n: childrenAndSelfOf[imply.r] & And | no childrenOf[n] & Or
    }
}

one sig G0 extends G {} { l = Imply0 }
one sig Imply0 extends Imply {}

fact {
    Imply0.l = x0 or (Imply0.l in And and Imply0.l.l = x0)
    
    Imply0.r = x1 or (Imply0.r in Or and Imply0.r.l = x1)
    
}",fact { root = G0 all imply : Imply { all n : childrenOf [ imply ] | n in ( Literal + And + Or + Neg ) all n : childrenOf [ imply ] & Neg | n . l in Literal all n : childrenAndSelfOf [ imply . l ] & Or | no childrenOf [ n ] & And all n : childrenAndSelfOf [ imply . r ] & And | no childrenOf [ n ] & Or } } one sig G0 extends G { } { l = Imply0 } one sig Imply0 extends Imply { } fact { Imply0 . l = x0 or ( Imply0 . l in And and Imply0 . l . l = x0 ) Imply0 . r = x1 or ( Imply0 . r in Or and Imply0 . r . l = x1 ) },root=G0 且 G0.l=Imply0；每个 Imply 的所有严格后代（不是仅直接孩子）限于 Literal/And/Or/Neg；其中每个 Neg 直接孩子须为 Literal；左子树任一 Or 的所有严格后代不得有 And，右子树任一 And 的所有严格后代不得有 Or；Imply0 左/右端点各有指定直接孩子备选。,OfficialWeakeningAntecedent,WeakeningTemplateAutomaton 的 body、noAndBelowOr、noOrBelowAnd、端点备选状态；G 根锚定；名称在无 repair 目标时可作存在量词消去。,展开 DAG 重算完整模板状态与根接受态。,"RecognizedConstraintAnalyzer.kt:57-70,161-168;OfficialArtifactAutomata.kt:23-101;MacroAlloyModelBuilder.kt:149-156;FinalSolutionVerifier.kt:62-63",EXACT_MATCH,
Weakening consequent 模板,weakening,39,ATLAS/experiment_artifacts/2026-09-26/rq3-constraint-audit/inputs/weakening/weaken_consequent/weaken_consequent_100_10_10.trace,a20f604f9fd520d01e90555be5a5f8af73e8a77bc912cc2e9a0be57b84057f87,"fact {
    root = G0
    
    all imply: Imply {
        all n: childrenOf[imply] | n in (Literal + And + Or + Neg)
        all n: childrenOf[imply] & Neg | n.l in Literal
        all n: childrenAndSelfOf[imply.l] & Or | no childrenOf[n] & And
        all n: childrenAndSelfOf[imply.r] & And | no childrenOf[n] & Or
    }
}

one sig G0 extends G {} { l = Imply0 }
one sig Imply0 extends Imply {}
one sig And0 extends And {}


fact {
    Imply0.l = x0 or (Imply0.l in And and Imply0.l.l = x0)
    
    Imply0.r = And0 or (Imply0.r in Or and Imply0.r.l = And0)
    (And0->x1 + And0->x2) in subDAG[Imply0.r]
}",fact { root = G0 all imply : Imply { all n : childrenOf [ imply ] | n in ( Literal + And + Or + Neg ) all n : childrenOf [ imply ] & Neg | n . l in Literal all n : childrenAndSelfOf [ imply . l ] & Or | no childrenOf [ n ] & And all n : childrenAndSelfOf [ imply . r ] & And | no childrenOf [ n ] & Or } } one sig G0 extends G { } { l = Imply0 } one sig Imply0 extends Imply { } one sig And0 extends And { } fact { Imply0 . l = x0 or ( Imply0 . l in And and Imply0 . l . l = x0 ) Imply0 . r = And0 or ( Imply0 . r in Or and Imply0 . r . l = And0 ) ( And0 -> x1 + And0 -> x2 ) in subDAG [ Imply0 . r ] },与 antecedent 相同的全后代限制；Imply0 右端为名为 And0 的 And 或左孩子为 And0 的 Or；And0 的直接左右孩子是 x1、x2（顺序可交换），And0 的两条边位于右子树 subDAG。,OfficialWeakeningConsequent,WeakeningTemplateAutomaton 的 body、noAndBelowOr、noOrBelowAnd、exactAnd12 与右端备选状态；G 根锚定。,展开 DAG 重算完整模板状态与根接受态。,"RecognizedConstraintAnalyzer.kt:71-86,161-168;OfficialArtifactAutomata.kt:23-101;MacroAlloyModelBuilder.kt:149-156;FinalSolutionVerifier.kt:62-63",EXACT_MATCH,
"Peterson：安全 + x2,x8",peterson,15,ATLAS/experiment_artifacts/2026-09-26/rq3-constraint-audit/inputs/peterson/base/safety1.trace,d58a9f51f5c1bc20f0078de05342722a1bf972de07a8d4d11d550cf51af247a6,"fact {
    root in G

    x2 in root.*(l+r) // pc0_CS
    x8 in root.*(l+r) // pc1_CS

    all n: root.*(l+r) | (n.l.*(l+r) & n.r.*(l+r) & Literal) = none // literals appear once in a formula
}",fact { root in G x2 in root . * ( l + r ) x8 in root . * ( l + r ) all n : root . * ( l + r ) | ( n . l . * ( l + r ) & n . r . * ( l + r ) & Literal ) = none },根 G；x2 和 x8 在根子树中；任一节点左右分支的 Literal 后代集合不得相交。没有 Imply/F 形状要求。,OfficialPeterson;NoSharedLiteralBranches;RequiredProposition(x2);RequiredProposition(x8),"RootOperator(G) × RequiredProposition(x2,x8)；二元锚左右可达 Literal 集不交。",展开 DAG 重算 product state、左右 Literal 后代集合及原始轨迹。,"RecognizedConstraintAnalyzer.kt:35-41,142-153;RequiredPropositionAutomaton.kt:5-22;MacroAlloyModelBuilder.kt:166-167;FinalSolutionVerifier.kt:62-90",EXACT_MATCH,
